Frame,Wavelength,Intensity
1,585.38779304249636,601
1,585.45513172155859,596
1,585.52246891561981,588
1,585.58980462256773,580
1,585.65713884029037,588
1,585.72447156667511,587
1,585.79180279960951,586
1,585.85913253698106,591
1,585.926460776677,593
1,585.99378751658458,594
1,586.061112754591,587
1,586.12843648858291,581
1,586.19575871644736,589
1,586.26307943607094,587
1,586.33039864534032,592
1,586.3977163421423,586
1,586.465032524363,589
1,586.5323471898887,586
1,586.59966033660567,586
1,586.6669719624,584
1,586.73428206515757,594
1,586.80159064276449,596
1,586.868897693106,590
1,586.93620321406831,591
1,587.00350720353663,589
1,587.07080965939633,593
1,587.138110579533,591
1,587.20540996183161,586
1,587.27270780417712,588
1,587.340004104455,584
1,587.40729886054987,584
1,587.47459207034649,588
1,587.5418837317294,590
1,587.60917384258357,591
1,587.676462400793,594
1,587.74374940424241,587
1,587.81103485081587,593
1,587.87831873839741,589
1,587.94560106487131,591
1,588.01288182812164,585
1,588.08016102603187,591
1,588.14743865648575,585
1,588.21471471736709,588
1,588.28198920655939,588
1,588.349262121946,588
1,588.41653346141061,586
1,588.48380322283583,591
1,588.551071404105,585
1,588.61833800310126,595
1,588.68560301770754,586
1,588.7528664458066,593
1,588.820128285281,590
1,588.88738853401367,588
1,588.95464718988671,588
1,589.02190425078288,584
1,589.08915971458441,587
1,589.15641357917332,594
1,589.223665842432,588
1,589.29091650224234,584
1,589.35816555648614,584
1,589.42541300304538,585
1,589.49265883980183,591
1,589.55990306463707,582
1,589.62714567543242,595
1,589.69438667006955,590
1,589.76162604642968,577
1,589.82886380239415,583
1,589.89609993584406,590
1,589.96333444466029,587
1,590.03056732672428,583
1,590.09779857991623,591
1,590.16502820211724,587
1,590.23225619120808,593
1,590.29948254506894,588
1,590.3667072615807,586
1,590.43393033862378,595
1,590.501151774078,596
1,590.5683715658239,586
1,590.63558971174155,591
1,590.70280620971107,578
1,590.7700210576121,592
1,590.83723425332471,586
1,590.90444579472842,588
1,590.97165567970308,588
1,591.0388639061282,588
1,591.106070471883,584
1,591.17327537484721,583
1,591.2404786129,582
1,591.3076801839203,586
1,591.37488008578771,595
1,591.44207831638084,586
1,591.50927487357865,592
1,591.57646975526018,588
1,591.64366295930415,589
1,591.71085448358906,589
1,591.77804432599351,594
1,591.84523248439609,585
1,591.91241895667508,594
1,591.97960374070885,579
1,592.04678683437555,588
1,592.11396823555344,584
1,592.18114794212056,593
1,592.24832595195471,586
1,592.31550226293393,588
1,592.382676872936,587
1,592.44984977983881,589
1,592.51702098151952,593
1,592.584190475856,588
1,592.65135826072549,590
1,592.71852433400556,589
1,592.78568869357366,591
1,592.85285133730645,586
1,592.92001226308139,584
1,592.98717146877573,593
1,593.05432895226613,591
1,593.1214847114295,587
1,593.18863874414251,582
1,593.25579104828216,588
1,593.32294162172514,583
1,593.39009046234742,588
1,593.457237568026,586
1,593.52438293663738,585
1,593.59152656605727,586
1,593.65866845416224,593
1,593.72580859882885,587
1,593.79294699793229,584
1,593.86008364934924,587
1,593.92721855095556,589
1,593.99435170062668,585
1,594.06148309623859,584
1,594.12861273566716,590
1,594.19574061678748,590
1,594.26286673747575,580
1,594.32999109560683,594
1,594.3971136890566,584
1,594.46423451569979,589
1,594.53135357341228,584
1,594.59847086006846,580
1,594.665586373544,583
1,594.73270011171371,589
1,594.79981207245237,589
1,594.86692225363493,591
1,594.93403065313623,587
1,595.00113726883092,592
1,595.06824209859371,584
1,595.13534514029891,588
1,595.20244639182113,583
1,595.26954585103476,588
1,595.33664351581422,583
1,595.40373938403354,587
1,595.47083345356725,584
1,595.53792572228929,588
1,595.60501618807371,593
1,595.67210484879433,584
1,595.73919170232523,588
1,595.80627674654033,587
1,595.87335997931314,582
1,595.94044139851758,588
1,596.00752100202715,595
1,596.07459878771556,585
1,596.141674753456,596
1,596.20874889712218,591
1,596.27582121658736,583
1,596.34289170972465,592
1,596.40996037440755,589
1,596.47702720850907,588
1,596.54409220990215,592
1,596.61115537646015,578
1,596.67821670605542,586
1,596.74527619656158,586
1,596.81233384585107,594
1,596.8793896517966,583
1,596.94644361227085,585
1,597.01349572514664,582
1,597.08054598829642,586
1,597.14759439959244,591
1,597.2146409569076,580
1,597.28168565811393,586
1,597.34872850108354,590
1,597.41576948368925,589
1,597.48280860380271,584
1,597.54984585929628,584
1,597.61688124804209,595
1,597.6839147679118,593
1,597.75094641677765,588
1,597.8179761925112,586
1,597.88500409298456,589
1,597.95203011606941,590
1,598.01905425963719,588
1,598.0860765215599,583
1,598.15309689970877,592
1,598.22011539195546,591
1,598.28713199617141,588
1,598.35414671022772,588
1,598.4211595319963,584
1,598.48817045934777,585
1,598.55517949015393,592
1,598.62218662228543,580
1,598.68919185361358,594
1,598.75619518200961,584
1,598.823196605344,589
1,598.8901961214882,585
1,598.95719372831286,584
1,599.02418942368865,585
1,599.09118320548646,583
1,599.15817507157692,590
1,599.22516501983091,584
1,599.29215304811862,583
1,599.35913915431092,583
1,599.426123336278,587
1,599.49310559189064,597
1,599.56008591901889,584
1,599.62706431553329,588
1,599.69404077930392,585
1,599.76101530820119,583
1,599.82798790009508,584
1,599.89495855285566,587
1,599.96192726435345,588
1,600.02889403245774,583
1,600.09585885503907,591
1,600.162821729967,589
1,600.22978265511142,584
1,600.29674162834226,589
1,600.3636986475293,588
1,600.43065371054217,579
1,600.49760681525049,587
1,600.56455795952365,589
1,600.63150714123185,581
1,600.69845435824391,585
1,600.76539960842945,582
1,600.83234288965821,592
1,600.89928419979935,583
1,600.96622353672217,587
1,601.03316089829571,591
1,601.10009628238947,591
1,601.16702968687264,590
1,601.23396110961426,586
1,601.30089054848349,587
1,601.36781800134918,589
1,601.43474346608048,591
1,601.50166694054622,594
1,601.56858842261545,581
1,601.63550791015689,588
1,601.70242540103948,583
1,601.76934089313181,585
1,601.836254384303,589
1,601.90316587242125,584
1,601.97007535535556,592
1,602.03698283097413,590
1,602.10388829714577,586
1,602.170791751739,589
1,602.23769319262249,581
1,602.30459261766418,590
1,602.37149002473291,583
1,602.4383854116968,587
1,602.50527877642423,597
1,602.57217011678335,589
1,602.63905943064265,598
1,602.7059467158698,590
1,602.77283197033375,585
1,602.83971519190186,583
1,602.90659637844249,583
1,602.973475527824,590
1,603.04035263791377,585
1,603.10722770658,588
1,603.17410073169083,588
1,603.24097171111407,593
1,603.30784064271722,588
