Frame,Wavelength,Intensity
1,585.38779304249636,630
1,585.45513172155859,602
1,585.52246891561981,606
1,585.58980462256773,595
1,585.65713884029037,600
1,585.72447156667511,608
1,585.79180279960951,614
1,585.85913253698106,604
1,585.926460776677,605
1,585.99378751658458,606
1,586.061112754591,601
1,586.12843648858291,607
1,586.19575871644736,589
1,586.26307943607094,604
1,586.33039864534032,603
1,586.3977163421423,601
1,586.465032524363,594
1,586.5323471898887,601
1,586.59966033660567,602
1,586.6669719624,598
1,586.73428206515757,600
1,586.80159064276449,599
1,586.868897693106,602
1,586.93620321406831,600
1,587.00350720353663,605
1,587.07080965939633,593
1,587.138110579533,595
1,587.20540996183161,601
1,587.27270780417712,598
1,587.340004104455,598
1,587.40729886054987,598
1,587.47459207034649,603
1,587.5418837317294,605
1,587.60917384258357,601
1,587.676462400793,607
1,587.74374940424241,593
1,587.81103485081587,599
1,587.87831873839741,605
1,587.94560106487131,600
1,588.01288182812164,609
1,588.08016102603187,611
1,588.14743865648575,607
1,588.21471471736709,603
1,588.28198920655939,606
1,588.349262121946,595
1,588.41653346141061,598
1,588.48380322283583,607
1,588.551071404105,597
1,588.61833800310126,604
1,588.68560301770754,596
1,588.7528664458066,604
1,588.820128285281,603
1,588.88738853401367,601
1,588.95464718988671,595
1,589.02190425078288,596
1,589.08915971458441,603
1,589.15641357917332,605
1,589.223665842432,613
1,589.29091650224234,609
1,589.35816555648614,605
1,589.42541300304538,609
1,589.49265883980183,601
1,589.55990306463707,613
1,589.62714567543242,615
1,589.69438667006955,603
1,589.76162604642968,602
1,589.82886380239415,609
1,589.89609993584406,603
1,589.96333444466029,604
1,590.03056732672428,604
1,590.09779857991623,605
1,590.16502820211724,608
1,590.23225619120808,605
1,590.29948254506894,619
1,590.3667072615807,608
1,590.43393033862378,604
1,590.501151774078,604
1,590.5683715658239,608
1,590.63558971174155,603
1,590.70280620971107,605
1,590.7700210576121,612
1,590.83723425332471,591
1,590.90444579472842,610
1,590.97165567970308,609
1,591.0388639061282,594
1,591.106070471883,617
1,591.17327537484721,604
1,591.2404786129,612
1,591.3076801839203,610
1,591.37488008578771,605
1,591.44207831638084,612
1,591.50927487357865,608
1,591.57646975526018,619
1,591.64366295930415,611
1,591.71085448358906,605
1,591.77804432599351,616
1,591.84523248439609,607
1,591.91241895667508,610
1,591.97960374070885,603
1,592.04678683437555,619
1,592.11396823555344,620
1,592.18114794212056,609
1,592.24832595195471,618
1,592.31550226293393,607
1,592.382676872936,611
1,592.44984977983881,602
1,592.51702098151952,609
1,592.584190475856,608
1,592.65135826072549,609
1,592.71852433400556,606
1,592.78568869357366,616
1,592.85285133730645,622
1,592.92001226308139,617
1,592.98717146877573,607
1,593.05432895226613,610
1,593.1214847114295,613
1,593.18863874414251,613
1,593.25579104828216,615
1,593.32294162172514,622
1,593.39009046234742,615
1,593.457237568026,625
1,593.52438293663738,618
1,593.59152656605727,623
1,593.65866845416224,614
1,593.72580859882885,618
1,593.79294699793229,619
1,593.86008364934924,619
1,593.92721855095556,614
1,593.99435170062668,625
1,594.06148309623859,624
1,594.12861273566716,622
1,594.19574061678748,632
1,594.26286673747575,637
1,594.32999109560683,622
1,594.3971136890566,648
1,594.46423451569979,637
1,594.53135357341228,634
1,594.59847086006846,632
1,594.665586373544,617
1,594.73270011171371,626
1,594.79981207245237,626
1,594.86692225363493,631
1,594.93403065313623,637
1,595.00113726883092,641
1,595.06824209859371,623
1,595.13534514029891,636
1,595.20244639182113,637
1,595.26954585103476,625
1,595.33664351581422,645
1,595.40373938403354,638
1,595.47083345356725,642
1,595.53792572228929,648
1,595.60501618807371,645
1,595.67210484879433,636
1,595.73919170232523,654
1,595.80627674654033,646
1,595.87335997931314,652
1,595.94044139851758,646
1,596.00752100202715,649
1,596.07459878771556,666
1,596.141674753456,655
1,596.20874889712218,664
1,596.27582121658736,644
1,596.34289170972465,637
1,596.40996037440755,657
1,596.47702720850907,662
1,596.54409220990215,664
1,596.61115537646015,663
1,596.67821670605542,648
1,596.74527619656158,656
1,596.81233384585107,655
1,596.8793896517966,657
1,596.94644361227085,675
1,597.01349572514664,661
1,597.08054598829642,661
1,597.14759439959244,649
1,597.2146409569076,679
1,597.28168565811393,674
1,597.34872850108354,669
1,597.41576948368925,683
1,597.48280860380271,682
1,597.54984585929628,679
1,597.61688124804209,689
1,597.6839147679118,698
1,597.75094641677765,690
1,597.8179761925112,676
1,597.88500409298456,673
1,597.95203011606941,697
1,598.01905425963719,700
1,598.0860765215599,681
1,598.15309689970877,688
1,598.22011539195546,708
1,598.28713199617141,704
1,598.35414671022772,695
1,598.4211595319963,709
1,598.48817045934777,707
1,598.55517949015393,706
1,598.62218662228543,711
1,598.68919185361358,696
1,598.75619518200961,712
1,598.823196605344,700
1,598.8901961214882,709
1,598.95719372831286,732
1,599.02418942368865,731
1,599.09118320548646,735
1,599.15817507157692,704
1,599.22516501983091,744
1,599.29215304811862,723
1,599.35913915431092,723
1,599.426123336278,735
1,599.49310559189064,742
1,599.56008591901889,716
1,599.62706431553329,766
1,599.69404077930392,755
1,599.76101530820119,754
1,599.82798790009508,749
1,599.89495855285566,769
1,599.96192726435345,751
1,600.02889403245774,767
1,600.09585885503907,776
1,600.162821729967,754
1,600.22978265511142,770
1,600.29674162834226,803
1,600.3636986475293,752
1,600.43065371054217,801
1,600.49760681525049,799
1,600.56455795952365,780
1,600.63150714123185,770
1,600.69845435824391,787
1,600.76539960842945,785
1,600.83234288965821,820
1,600.89928419979935,800
1,600.96622353672217,815
1,601.03316089829571,809
1,601.10009628238947,809
1,601.16702968687264,828
1,601.23396110961426,811
1,601.30089054848349,829
1,601.36781800134918,841
1,601.43474346608048,832
1,601.50166694054622,850
1,601.56858842261545,834
1,601.63550791015689,840
1,601.70242540103948,832
1,601.76934089313181,824
1,601.836254384303,839
1,601.90316587242125,849
1,601.97007535535556,872
1,602.03698283097413,884
1,602.10388829714577,867
1,602.170791751739,909
1,602.23769319262249,908
1,602.30459261766418,875
1,602.37149002473291,865
1,602.4383854116968,883
1,602.50527877642423,909
1,602.57217011678335,871
1,602.63905943064265,908
1,602.7059467158698,875
1,602.77283197033375,890
1,602.83971519190186,882
1,602.90659637844249,917
1,602.973475527824,882
1,603.04035263791377,905
1,603.10722770658,892
1,603.17410073169083,899
1,603.24097171111407,905
1,603.30784064271722,908
1,603.37470752436866,927
1,603.4415723539355,895
1,603.508435129286,935
1,603.57529584828762,954
1,603.64215450880829,936
1,603.70901110871534,948
1,603.77586564587637,916
1,603.84271811815927,918
1,603.90956852343118,943
1,603.97641685955978,958
1,604.04326312441265,957
1,604.11010731585691,927
1,604.17694943176025,940
1,604.24378946998979,956
1,604.31062742841311,959
1,604.37746330489722,962
1,604.44429709730969,949
1,604.51112880351752,960
1,604.57795842138808,1002
1,604.64478594878835,987
1,604.71161138358582,958
1,604.77843472364736,971
1,604.84525596683989,947
1,604.91207511103084,992
1,604.97889215408679,974
1,605.04570709387508,972
1,605.11251992826271,968
1,605.17933065511659,970
1,605.24613927230314,991
1,605.31294577769,1022
1,605.37975016914368,977
1,605.44655244453077,1029
1,605.51335260171834,1006
1,605.58015063857329,980
1,605.646946552962,958
1,605.71374034275152,982
1,605.78053200580837,1002
1,605.84732153999937,1020
1,605.914108943191,982
1,605.98089421324983,1000
1,606.04767734804284,1017
1,606.11445834543611,1046
1,606.18123720329652,1054
1,606.24801391949052,1037
1,606.31478849188466,1010
1,606.38156091834526,1035
1,606.448331196739,1026
1,606.51509932493207,1010
1,606.58186530079115,1058
1,606.64862912218234,1073
1,606.71539078697231,1023
1,606.78215029302726,1016
1,606.84890763821352,1029
1,606.91566282039742,1001
1,606.98241583744527,1014
1,607.04916668722319,1017
1,607.11591536759761,1042
1,607.18266187643462,1040
1,607.24940621160056,1060
1,607.31614837096186,1070
1,607.38288835238416,1057
1,607.44962615373379,1067
1,607.51636177287708,1037
1,607.58309520768012,1108
1,607.64982645600878,1102
1,607.7165555157294,1060
1,607.783282384708,1081
1,607.85000706081064,1113
1,607.91672954190324,1102
1,607.98344982585184,1098
1,608.05016791052276,1154
1,608.11688379378131,1103
1,608.18359747349427,1084
1,608.25030894752717,1121
1,608.31701821374611,1175
1,608.383725270017,1104
1,608.45043011420557,1169
1,608.517132744178,1213
1,608.5838331578,1155
1,608.65053135293749,1150
1,608.71722732745638,1167
1,608.78392107922275,1166
1,608.850612606102,1195
1,608.91730190596036,1232
1,608.98398897666357,1163
1,609.05067381607728,1191
1,609.11735642206736,1226
1,609.1840367924998,1235
1,609.25071492524023,1255
1,609.31739081815454,1248
1,609.38406446910824,1279
1,609.45073587596733,1285
1,609.51740503659744,1287
1,609.58407194886433,1305
1,609.65073661063388,1281
1,609.71739901977185,1316
1,609.78405917414364,1367
1,609.85071707161524,1323
1,609.91737271005229,1316
1,609.98402608732033,1319
1,610.05067720128534,1369
1,610.117326049813,1339
1,610.18397263076884,1327
1,610.25061694201838,1359
1,610.3172589814277,1334
1,610.38389874686209,1405
1,610.4505362361873,1368
1,610.51717144726945,1371
1,610.58380437797359,1366
1,610.65043502616561,1363
1,610.71706338971137,1340
1,610.78368946647629,1305
1,610.8503132543259,1305
1,610.91693475112606,1269
1,610.98355395474243,1278
1,611.05017086304065,1322
1,611.11678547388624,1294
1,611.18339778514485,1289
1,611.25000779468223,1277
1,611.31661550036392,1305
1,611.38322090005568,1292
1,611.44982399162313,1266
1,611.51642477293171,1279
1,611.5830232418474,1349
1,611.64961939623549,1409
1,611.71621323396187,1408
1,611.782804752892,1358
1,611.849393950892,1420
1,611.915980825827,1424
1,611.9825653755629,1373
1,612.0491475979652,1405
1,612.11572749089964,1441
1,612.182305052232,1428
1,612.248880279828,1424
1,612.315453171553,1414
1,612.38202372527292,1490
1,612.44859193885338,1482
1,612.51515781016008,1542
1,612.58172133705887,1509
1,612.64828251741517,1492
1,612.71484134909485,1455
1,612.78139782996368,1518
1,612.84795195788729,1538
1,612.91450373073133,1532
1,612.98105314636177,1519
1,613.04760020264439,1542
1,613.11414489744436,1534
1,613.18068722862836,1545
1,613.24722719406134,1580
1,613.31376479160951,1570
1,613.38030001913864,1563
1,613.44683287451448,1526
1,613.51336335560268,1542
1,613.57989146026932,1573
1,613.64641718638018,1557
1,613.712940531801,1540
1,613.77946149439754,1538
1,613.8459800720359,1579
1,613.912496262582,1545
1,613.97901006390146,1638
1,614.04552147386028,1597
1,614.11203049032451,1613
1,614.17853711116,1592
1,614.24504133423261,1630
1,614.31154315740855,1622
1,614.37804257855339,1737
1,614.44453959553334,1704
1,614.5110342062145,1704
1,614.57752640846286,1663
1,614.64401620014416,1659
1,614.71050357912475,1667
1,614.77698854327059,1704
1,614.84347109044791,1694
1,614.90995121852245,1654
1,614.97642892536066,1634
1,615.04290420882853,1678
1,615.109377066792,1724
1,615.175847497118,1762
1,615.2423154976716,1728
1,615.30878106632,1770
1,615.37524420092859,1779
1,615.44170489936437,1729
1,615.50816315949294,1764
1,615.57461897918108,1689
1,615.64107235629479,1748
1,615.70752328870071,1770
1,615.77397177426485,1753
1,615.84041781085364,1743
1,615.90686139633328,1832
1,615.9733025285708,1753
1,616.03974120543194,1884
1,616.1061774247836,1843
1,616.172611184492,1891
1,616.23904248242366,1918
1,616.30547131644516,1865
1,616.371897684423,1908
1,616.43832158422379,1963
1,616.50474301371423,1991
1,616.5711619707605,1965
1,616.63757845322982,1919
1,616.70399245898841,1944
1,616.77040398590327,1975
1,616.83681303184085,2075
1,616.903219594668,2074
1,616.96962367225149,1969
1,617.03602526245811,2171
1,617.1024243631548,2161
1,617.168820972208,2081
1,617.23521508748513,2128
1,617.30160670685268,2196
1,617.36799582817764,2206
1,617.43438244932725,2177
1,617.50076656816816,2269
1,617.56714818256751,2142
1,617.63352729039252,2266
1,617.69990388951,2300
1,617.76627797778713,2260
1,617.832649553091,2285
1,617.899018613289,2310
1,617.965385156248,2331
1,618.0317491798354,2367
1,618.09811068191868,2362
1,618.16446966036483,2320
1,618.23082611304119,2346
1,618.29718003781511,2451
1,618.36353143255417,2455
1,618.42988029512571,2539
1,618.49622662339721,2542
1,618.56257041523577,2531
1,618.62891166850955,2487
1,618.69525038108554,2496
1,618.76158655083191,2490
1,618.82792017561565,2529
1,618.8942512533049,2587
1,618.96057978176714,2661
1,619.02690575887027,2649
1,619.09322918248188,2688
1,619.15955005046987,2652
1,619.22586836070218,2707
1,619.29218411104648,2740
1,619.35849729937081,2790
1,619.424807923543,2713
1,619.49111598143134,2785
1,619.55742147090336,2811
1,619.62372438982788,2870
1,619.69002473607225,2873
1,619.75632250750516,2818
1,619.82261770199443,2867
1,619.88891031740843,2981
1,619.95520035161553,2924
1,620.021487802484,3011
1,620.08777266788218,3022
1,620.15405494567835,2964
1,620.22033463374112,3030
1,620.28661172993884,2997
1,620.35288623214024,3125
1,620.41915813821345,3207
1,620.48542744602753,3128
1,620.551694153451,3257
1,620.61795825835225,3137
1,620.68421975860042,3202
1,620.7504786520642,3248
1,620.81673493661231,3257
1,620.88298861011367,3301
1,620.94923967043712,3316
1,621.01548811545172,3393
1,621.08173394302639,3471
1,621.1479771510302,3537
1,621.21421773733243,3465
1,621.280455699802,3462
1,621.346691036308,3388
1,621.41292374472,3463
1,621.47915382290716,3542
1,621.54538126873888,3535
1,621.61160608008436,3647
1,621.677828254813,3691
1,621.74404779079453,3630
1,621.81026468589823,3732
1,621.876478937994,3640
1,621.94269054495123,3746
1,622.00889950463954,3782
1,622.07510581492875,3652
1,622.14130947368869,3824
1,622.20751047878912,3833
1,622.2737088281,3868
1,622.33990451949114,3884
1,622.40609755083256,4002
1,622.47228791999441,3965
1,622.5384756248468,3946
1,622.60466066325966,3957
1,622.67084303310332,4097
1,622.73702273224808,4041
1,622.80319975856412,4083
1,622.869374109922,4128
1,622.93554578419173,4141
1,623.00171477924425,4176
1,623.06788109294985,4204
1,623.134044723179,4305
1,623.20020566780272,4358
1,623.26636392469129,4421
1,623.33251949171552,4295
1,623.39867236674661,4397
1,623.46482254765488,4419
1,623.53097003231164,4456
1,623.59711481858767,4445
1,623.663256904354,4520
1,623.729396287482,4568
1,623.79553296584231,4678
1,623.8616669373065,4631
1,623.927798199746,4647
1,623.99392675103161,4739
1,624.06005258903519,4883
1,624.12617571162809,4858
1,624.19229611668152,4825
1,624.25841380206737,4884
1,624.32452876565719,4907
1,624.39064100532255,4933
1,624.45675051893568,4931
1,624.52285730436768,4987
1,624.5889613594909,5010
1,624.65506268217712,5040
1,624.72116127029835,5058
1,624.78725712172684,5089
1,624.85335023433458,5267
1,624.9194406059936,5127
1,624.98552823457646,5291
1,625.0516131179553,5202
1,625.11769525400257,5312
1,625.18377464059085,5198
1,625.24985127559239,5329
1,625.31592515688,5515
1,625.3819962823261,5527
1,625.44806464980365,5442
1,625.51413025718546,5542
1,625.5801931023442,5709
1,625.64625318315268,5623
1,625.71231049748417,5721
1,625.77836504321181,5673
1,625.84441681820829,5826
1,625.91046582034721,5880
1,625.97651204750161,5897
1,626.042555497545,5887
1,626.10859616835046,5924
1,626.174634057792,5961
1,626.24066916374272,6146
1,626.30670148407626,6124
1,626.37273101666653,6143
1,626.438757759387,6110
1,626.50478171011162,6231
1,626.57080286671442,6280
1,626.63682122706939,6374
1,626.70283678905037,6408
1,626.7688495505314,6534
1,626.834859509387,6670
1,626.90086666349146,6485
1,626.96687101071871,6591
1,627.03287254894326,6564
1,627.09887127603986,6629
1,627.1648671898829,6690
1,627.23086028834712,6730
1,627.296850569307,6864
1,627.3628380306377,6717
1,627.42882267021366,6898
1,627.49480448591009,7035
1,627.560783475602,6931
1,627.62675963716435,7158
1,627.69273296847246,7055
1,627.75870346740146,7271
1,627.82467113182679,7259
1,627.89063595962375,7281
1,627.95659794866776,7454
1,628.02255709683459,7556
1,628.08851340199965,7378
1,628.1544668620387,7470
1,628.22041747482774,7597
1,628.28636523824252,7623
1,628.352310150159,7778
1,628.4182522084534,7871
1,628.48419141100158,7773
1,628.55012775567968,7850
1,628.61606124036427,8095
1,628.68199186293168,8153
1,628.74791962125812,8191
1,628.81384451322037,8200
