Frame,Wavelength,Intensity
1,585.38779304249636,1751
1,585.45513172155859,1672
1,585.52246891561981,1660
1,585.58980462256773,1748
1,585.65713884029037,1695
1,585.72447156667511,1589
1,585.79180279960951,1690
1,585.85913253698106,1639
1,585.926460776677,1641
1,585.99378751658458,1690
1,586.061112754591,1704
1,586.12843648858291,1734
1,586.19575871644736,1712
1,586.26307943607094,1728
1,586.33039864534032,1737
1,586.3977163421423,1673
1,586.465032524363,1673
1,586.5323471898887,1653
1,586.59966033660567,1739
1,586.6669719624,1724
1,586.73428206515757,1677
1,586.80159064276449,1683
1,586.868897693106,1627
1,586.93620321406831,1670
1,587.00350720353663,1713
1,587.07080965939633,1647
1,587.138110579533,1678
1,587.20540996183161,1661
1,587.27270780417712,1731
1,587.340004104455,1669
1,587.40729886054987,1719
1,587.47459207034649,1652
1,587.5418837317294,1749
1,587.60917384258357,1688
1,587.676462400793,1635
1,587.74374940424241,1718
1,587.81103485081587,1714
1,587.87831873839741,1656
1,587.94560106487131,1701
1,588.01288182812164,1732
1,588.08016102603187,1639
1,588.14743865648575,1703
1,588.21471471736709,1732
1,588.28198920655939,1676
1,588.349262121946,1698
1,588.41653346141061,1766
1,588.48380322283583,1719
1,588.551071404105,1673
1,588.61833800310126,1669
1,588.68560301770754,1680
1,588.7528664458066,1604
1,588.820128285281,1705
1,588.88738853401367,1697
1,588.95464718988671,1751
1,589.02190425078288,1773
1,589.08915971458441,1659
1,589.15641357917332,1704
1,589.223665842432,1685
1,589.29091650224234,1680
1,589.35816555648614,1739
1,589.42541300304538,1704
1,589.49265883980183,1641
1,589.55990306463707,1703
1,589.62714567543242,1705
1,589.69438667006955,1651
1,589.76162604642968,1697
1,589.82886380239415,1793
1,589.89609993584406,1754
1,589.96333444466029,1681
1,590.03056732672428,1652
1,590.09779857991623,1707
1,590.16502820211724,1715
1,590.23225619120808,1694
1,590.29948254506894,1719
1,590.3667072615807,1643
1,590.43393033862378,1682
1,590.501151774078,1698
1,590.5683715658239,1736
1,590.63558971174155,1727
1,590.70280620971107,1663
1,590.7700210576121,1675
1,590.83723425332471,1732
1,590.90444579472842,1725
1,590.97165567970308,1702
1,591.0388639061282,1757
1,591.106070471883,1655
1,591.17327537484721,1732
1,591.2404786129,1708
1,591.3076801839203,1707
1,591.37488008578771,1674
1,591.44207831638084,1701
1,591.50927487357865,1743
1,591.57646975526018,1629
1,591.64366295930415,1596
1,591.71085448358906,1701
1,591.77804432599351,1684
1,591.84523248439609,1672
1,591.91241895667508,1690
1,591.97960374070885,1680
1,592.04678683437555,1665
1,592.11396823555344,1643
1,592.18114794212056,1671
1,592.24832595195471,1732
1,592.31550226293393,1700
1,592.382676872936,1682
1,592.44984977983881,1844
1,592.51702098151952,1704
1,592.584190475856,1692
1,592.65135826072549,1698
1,592.71852433400556,1751
1,592.78568869357366,1691
1,592.85285133730645,1683
1,592.92001226308139,1694
1,592.98717146877573,1682
1,593.05432895226613,1708
1,593.1214847114295,1670
1,593.18863874414251,1679
1,593.25579104828216,1723
1,593.32294162172514,1674
1,593.39009046234742,1602
1,593.457237568026,1696
1,593.52438293663738,1733
1,593.59152656605727,1710
1,593.65866845416224,1671
1,593.72580859882885,1737
1,593.79294699793229,1680
1,593.86008364934924,1764
1,593.92721855095556,1684
1,593.99435170062668,1766
1,594.06148309623859,1724
1,594.12861273566716,1716
1,594.19574061678748,1625
