Frame,Wavelength,Intensity
1,585.38779304249636,618
1,585.45513172155859,612
1,585.52246891561981,611
1,585.58980462256773,606
1,585.65713884029037,604
1,585.72447156667511,608
1,585.79180279960951,618
1,585.85913253698106,613
1,585.926460776677,613
1,585.99378751658458,614
1,586.061112754591,602
1,586.12843648858291,609
1,586.19575871644736,608
1,586.26307943607094,599
1,586.33039864534032,622
1,586.3977163421423,618
1,586.465032524363,615
1,586.5323471898887,616
1,586.59966033660567,614
1,586.6669719624,611
1,586.73428206515757,612
1,586.80159064276449,615
1,586.868897693106,617
1,586.93620321406831,621
1,587.00350720353663,612
1,587.07080965939633,615
1,587.138110579533,622
1,587.20540996183161,604
1,587.27270780417712,608
1,587.340004104455,605
1,587.40729886054987,612
1,587.47459207034649,614
1,587.5418837317294,600
1,587.60917384258357,610
1,587.676462400793,614
1,587.74374940424241,620
1,587.81103485081587,615
1,587.87831873839741,615
1,587.94560106487131,610
1,588.01288182812164,604
1,588.08016102603187,624
1,588.14743865648575,616
1,588.21471471736709,623
1,588.28198920655939,617
1,588.349262121946,618
1,588.41653346141061,612
1,588.48380322283583,617
1,588.551071404105,615
1,588.61833800310126,623
1,588.68560301770754,605
1,588.7528664458066,607
1,588.820128285281,608
1,588.88738853401367,619
1,588.95464718988671,611
1,589.02190425078288,607
1,589.08915971458441,626
1,589.15641357917332,605
1,589.223665842432,623
1,589.29091650224234,603
1,589.35816555648614,607
1,589.42541300304538,622
1,589.49265883980183,611
1,589.55990306463707,608
1,589.62714567543242,616
1,589.69438667006955,612
1,589.76162604642968,612
1,589.82886380239415,624
1,589.89609993584406,614
1,589.96333444466029,614
1,590.03056732672428,608
1,590.09779857991623,612
1,590.16502820211724,628
1,590.23225619120808,609
1,590.29948254506894,623
1,590.3667072615807,622
1,590.43393033862378,606
1,590.501151774078,612
1,590.5683715658239,605
1,590.63558971174155,610
1,590.70280620971107,613
1,590.7700210576121,613
1,590.83723425332471,614
1,590.90444579472842,614
1,590.97165567970308,611
1,591.0388639061282,622
1,591.106070471883,627
1,591.17327537484721,617
1,591.2404786129,619
1,591.3076801839203,620
1,591.37488008578771,620
1,591.44207831638084,616
1,591.50927487357865,614
1,591.57646975526018,613
1,591.64366295930415,622
1,591.71085448358906,604
1,591.77804432599351,617
1,591.84523248439609,621
1,591.91241895667508,629
1,591.97960374070885,612
1,592.04678683437555,613
1,592.11396823555344,616
1,592.18114794212056,627
1,592.24832595195471,636
1,592.31550226293393,615
1,592.382676872936,612
1,592.44984977983881,614
1,592.51702098151952,618
1,592.584190475856,615
1,592.65135826072549,616
1,592.71852433400556,633
1,592.78568869357366,610
1,592.85285133730645,622
1,592.92001226308139,634
1,592.98717146877573,627
1,593.05432895226613,612
1,593.1214847114295,626
1,593.18863874414251,616
1,593.25579104828216,605
1,593.32294162172514,624
1,593.39009046234742,622
1,593.457237568026,623
1,593.52438293663738,618
1,593.59152656605727,628
1,593.65866845416224,632
1,593.72580859882885,628
1,593.79294699793229,630
1,593.86008364934924,642
1,593.92721855095556,628
1,593.99435170062668,619
1,594.06148309623859,624
1,594.12861273566716,638
1,594.19574061678748,646
1,594.26286673747575,642
1,594.32999109560683,638
1,594.3971136890566,633
1,594.46423451569979,639
1,594.53135357341228,624
1,594.59847086006846,630
1,594.665586373544,639
1,594.73270011171371,644
1,594.79981207245237,632
1,594.86692225363493,635
1,594.93403065313623,645
1,595.00113726883092,621
1,595.06824209859371,630
1,595.13534514029891,634
1,595.20244639182113,640
1,595.26954585103476,645
1,595.33664351581422,645
1,595.40373938403354,634
1,595.47083345356725,631
1,595.53792572228929,652
1,595.60501618807371,644
1,595.67210484879433,652
1,595.73919170232523,639
1,595.80627674654033,647
1,595.87335997931314,655
1,595.94044139851758,663
1,596.00752100202715,646
1,596.07459878771556,645
1,596.141674753456,643
1,596.20874889712218,650
1,596.27582121658736,653
1,596.34289170972465,639
1,596.40996037440755,655
1,596.47702720850907,642
1,596.54409220990215,644
1,596.61115537646015,667
1,596.67821670605542,666
1,596.74527619656158,666
1,596.81233384585107,656
1,596.8793896517966,670
1,596.94644361227085,670
1,597.01349572514664,661
1,597.08054598829642,667
1,597.14759439959244,657
1,597.2146409569076,664
1,597.28168565811393,674
1,597.34872850108354,665
1,597.41576948368925,677
1,597.48280860380271,689
1,597.54984585929628,671
1,597.61688124804209,683
1,597.6839147679118,669
1,597.75094641677765,685
1,597.8179761925112,680
1,597.88500409298456,675
1,597.95203011606941,682
1,598.01905425963719,687
1,598.0860765215599,686
1,598.15309689970877,688
1,598.22011539195546,706
1,598.28713199617141,708
1,598.35414671022772,692
1,598.4211595319963,679
1,598.48817045934777,699
1,598.55517949015393,695
1,598.62218662228543,703
1,598.68919185361358,696
1,598.75619518200961,709
1,598.823196605344,700
1,598.8901961214882,701
1,598.95719372831286,715
1,599.02418942368865,725
1,599.09118320548646,707
1,599.15817507157692,749
1,599.22516501983091,716
1,599.29215304811862,720
1,599.35913915431092,709
1,599.426123336278,710
1,599.49310559189064,736
1,599.56008591901889,750
1,599.62706431553329,736
1,599.69404077930392,746
1,599.76101530820119,724
1,599.82798790009508,733
1,599.89495855285566,753
1,599.96192726435345,747
1,600.02889403245774,750
1,600.09585885503907,775
1,600.162821729967,758
1,600.22978265511142,752
1,600.29674162834226,773
1,600.3636986475293,758
1,600.43065371054217,766
1,600.49760681525049,748
1,600.56455795952365,762
1,600.63150714123185,764
1,600.69845435824391,787
1,600.76539960842945,766
1,600.83234288965821,799
1,600.89928419979935,765
1,600.96622353672217,812
1,601.03316089829571,787
1,601.10009628238947,806
1,601.16702968687264,799
1,601.23396110961426,779
1,601.30089054848349,766
1,601.36781800134918,815
1,601.43474346608048,799
1,601.50166694054622,810
1,601.56858842261545,822
1,601.63550791015689,794
1,601.70242540103948,807
1,601.76934089313181,846
1,601.836254384303,801
1,601.90316587242125,808
1,601.97007535535556,830
1,602.03698283097413,831
1,602.10388829714577,817
1,602.170791751739,833
1,602.23769319262249,850
1,602.30459261766418,813
1,602.37149002473291,836
1,602.4383854116968,846
1,602.50527877642423,811
1,602.57217011678335,842
1,602.63905943064265,851
1,602.7059467158698,872
1,602.77283197033375,862
1,602.83971519190186,892
1,602.90659637844249,849
1,602.973475527824,868
1,603.04035263791377,870
1,603.10722770658,844
1,603.17410073169083,860
1,603.24097171111407,864
1,603.30784064271722,860
1,603.37470752436866,859
1,603.4415723539355,908
1,603.508435129286,876
1,603.57529584828762,919
1,603.64215450880829,878
1,603.70901110871534,890
1,603.77586564587637,877
1,603.84271811815927,873
1,603.90956852343118,866
1,603.97641685955978,875
1,604.04326312441265,892
1,604.11010731585691,909
1,604.17694943176025,917
1,604.24378946998979,907
1,604.31062742841311,908
1,604.37746330489722,897
1,604.44429709730969,909
1,604.51112880351752,877
1,604.57795842138808,908
1,604.64478594878835,892
1,604.71161138358582,931
1,604.77843472364736,920
1,604.84525596683989,943
1,604.91207511103084,924
1,604.97889215408679,942
1,605.04570709387508,913
1,605.11251992826271,937
1,605.17933065511659,927
1,605.24613927230314,952
1,605.31294577769,895
1,605.37975016914368,962
1,605.44655244453077,908
1,605.51335260171834,924
1,605.58015063857329,943
1,605.646946552962,964
1,605.71374034275152,909
1,605.78053200580837,911
1,605.84732153999937,963
1,605.914108943191,927
1,605.98089421324983,980
1,606.04767734804284,956
1,606.11445834543611,933
1,606.18123720329652,946
1,606.24801391949052,993
1,606.31478849188466,990
1,606.38156091834526,967
1,606.448331196739,989
1,606.51509932493207,982
1,606.58186530079115,980
1,606.64862912218234,1003
1,606.71539078697231,1001
1,606.78215029302726,1014
1,606.84890763821352,1005
1,606.91566282039742,973
1,606.98241583744527,959
1,607.04916668722319,957
1,607.11591536759761,1013
1,607.18266187643462,993
1,607.24940621160056,1022
1,607.31614837096186,1034
1,607.38288835238416,1023
1,607.44962615373379,1006
1,607.51636177287708,1007
1,607.58309520768012,1013
1,607.64982645600878,1002
1,607.7165555157294,1031
1,607.783282384708,1038
1,607.85000706081064,1016
1,607.91672954190324,1075
1,607.98344982585184,1067
1,608.05016791052276,1077
1,608.11688379378131,1062
1,608.18359747349427,1122
1,608.25030894752717,1064
1,608.31701821374611,1084
1,608.383725270017,1085
1,608.45043011420557,1126
1,608.517132744178,1136
1,608.5838331578,1121
1,608.65053135293749,1109
1,608.71722732745638,1075
1,608.78392107922275,1090
1,608.850612606102,1157
1,608.91730190596036,1166
1,608.98398897666357,1140
1,609.05067381607728,1140
1,609.11735642206736,1147
1,609.1840367924998,1191
1,609.25071492524023,1154
1,609.31739081815454,1199
1,609.38406446910824,1174
1,609.45073587596733,1193
1,609.51740503659744,1213
1,609.58407194886433,1187
1,609.65073661063388,1210
1,609.71739901977185,1246
1,609.78405917414364,1215
1,609.85071707161524,1240
1,609.91737271005229,1322
1,609.98402608732033,1252
1,610.05067720128534,1257
1,610.117326049813,1216
1,610.18397263076884,1252
1,610.25061694201838,1280
1,610.3172589814277,1271
1,610.38389874686209,1275
1,610.4505362361873,1306
1,610.51717144726945,1294
1,610.58380437797359,1304
1,610.65043502616561,1307
1,610.71706338971137,1309
1,610.78368946647629,1265
1,610.8503132543259,1277
1,610.91693475112606,1219
1,610.98355395474243,1263
1,611.05017086304065,1231
1,611.11678547388624,1260
1,611.18339778514485,1287
1,611.25000779468223,1284
1,611.31661550036392,1225
1,611.38322090005568,1266
1,611.44982399162313,1206
1,611.51642477293171,1229
1,611.5830232418474,1306
1,611.64961939623549,1236
1,611.71621323396187,1298
1,611.782804752892,1319
1,611.849393950892,1302
1,611.915980825827,1362
1,611.9825653755629,1321
1,612.0491475979652,1343
1,612.11572749089964,1389
1,612.182305052232,1438
1,612.248880279828,1412
1,612.315453171553,1429
1,612.38202372527292,1410
1,612.44859193885338,1402
1,612.51515781016008,1426
1,612.58172133705887,1462
1,612.64828251741517,1448
1,612.71484134909485,1479
1,612.78139782996368,1471
1,612.84795195788729,1471
1,612.91450373073133,1519
1,612.98105314636177,1512
1,613.04760020264439,1463
1,613.11414489744436,1508
1,613.18068722862836,1564
1,613.24722719406134,1431
1,613.31376479160951,1498
1,613.38030001913864,1501
1,613.44683287451448,1478
1,613.51336335560268,1467
1,613.57989146026932,1525
1,613.64641718638018,1470
1,613.712940531801,1509
1,613.77946149439754,1470
1,613.8459800720359,1508
1,613.912496262582,1545
1,613.97901006390146,1569
1,614.04552147386028,1449
1,614.11203049032451,1522
1,614.17853711116,1605
1,614.24504133423261,1541
1,614.31154315740855,1573
1,614.37804257855339,1627
1,614.44453959553334,1577
1,614.5110342062145,1598
1,614.57752640846286,1614
1,614.64401620014416,1629
1,614.71050357912475,1592
1,614.77698854327059,1580
1,614.84347109044791,1556
1,614.90995121852245,1629
1,614.97642892536066,1662
1,615.04290420882853,1622
1,615.109377066792,1634
1,615.175847497118,1665
1,615.2423154976716,1703
1,615.30878106632,1757
1,615.37524420092859,1709
1,615.44170489936437,1714
1,615.50816315949294,1613
1,615.57461897918108,1674
1,615.64107235629479,1692
1,615.70752328870071,1696
1,615.77397177426485,1707
1,615.84041781085364,1722
1,615.90686139633328,1766
1,615.9733025285708,1797
1,616.03974120543194,1797
1,616.1061774247836,1793
1,616.172611184492,1814
1,616.23904248242366,1782
1,616.30547131644516,1886
1,616.371897684423,1905
1,616.43832158422379,1852
1,616.50474301371423,1836
1,616.5711619707605,1916
1,616.63757845322982,1902
1,616.70399245898841,1972
1,616.77040398590327,1927
1,616.83681303184085,1931
1,616.903219594668,1945
1,616.96962367225149,2024
1,617.03602526245811,1994
1,617.1024243631548,2077
1,617.168820972208,2086
1,617.23521508748513,2103
1,617.30160670685268,2087
1,617.36799582817764,2082
1,617.43438244932725,2136
1,617.50076656816816,2140
1,617.56714818256751,2160
1,617.63352729039252,2224
1,617.69990388951,2213
1,617.76627797778713,2168
1,617.832649553091,2194
1,617.899018613289,2240
1,617.965385156248,2250
1,618.0317491798354,2212
1,618.09811068191868,2267
1,618.16446966036483,2268
1,618.23082611304119,2386
1,618.29718003781511,2390
1,618.36353143255417,2431
1,618.42988029512571,2465
1,618.49622662339721,2469
1,618.56257041523577,2425
1,618.62891166850955,2493
1,618.69525038108554,2494
1,618.76158655083191,2481
1,618.82792017561565,2414
1,618.8942512533049,2548
1,618.96057978176714,2563
1,619.02690575887027,2588
1,619.09322918248188,2603
1,619.15955005046987,2594
1,619.22586836070218,2658
1,619.29218411104648,2710
1,619.35849729937081,2666
1,619.424807923543,2619
1,619.49111598143134,2797
1,619.55742147090336,2762
1,619.62372438982788,2709
1,619.69002473607225,2712
1,619.75632250750516,2761
1,619.82261770199443,2841
1,619.88891031740843,2987
1,619.95520035161553,2863
1,620.021487802484,2857
1,620.08777266788218,2799
1,620.15405494567835,2857
1,620.22033463374112,3011
1,620.28661172993884,2935
1,620.35288623214024,2997
1,620.41915813821345,3167
1,620.48542744602753,3074
1,620.551694153451,3041
1,620.61795825835225,3018
